MarkNo,CaptureNo,ScaleNo,ScaleNoMax,Period,AgeTotal,AgeRiver,AgeLake,Length,SmoltingStatus,MaturationStatus,SpawnStatus,Year,Sex,Origin,HatchYear,AgeAtSmolting,LengthAtSmolting,AgeAtMaturation,LengthAtMaturation,SpawnCount,CaptureYear
H 1151,1,1,1,River,1,1,0,78,0,0,0,1956,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,River,2,2,0,138,0,0,0,1957,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,River,3,3,0,201,0,0,0,1958,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,River,4,4,0,258,0,0,0,1959,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,River,5,5,0,333,1,0,0,1960,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,Lake,6,5,1,526,1,0,0,1961,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,Lake,7,5,2,629,1,1,1,1962,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,Lake,8,5,3,658,1,1,0,1963,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,Lake,9,5,4,750,1,1,1,1964,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,Lake,10,5,5,775,1,1,0,1965,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,Lake,11,5,6,830,1,1,1,1966,female,wild,1955,5,333,7,629,3,1966
H 1152,1,1,1,Lake,NA,NA,1,415,1,0,0,1961,female,wild,NA,NA,255,NA,801,2,1966
H 1152,1,1,1,Lake,NA,NA,2,617,1,0,0,1962,female,wild,NA,NA,255,NA,801,2,1966
H 1152,1,1,1,Lake,NA,NA,3,724,1,0,0,1963,female,wild,NA,NA,255,NA,801,2,1966
H 1152,1,1,1,Lake,NA,NA,4,801,1,1,1,1964,female,wild,NA,NA,255,NA,801,2,1966
H 1152,1,1,1,Lake,NA,NA,5,830,1,1,0,1965,female,wild,NA,NA,255,NA,801,2,1966
H 1152,1,1,1,Lake,NA,NA,6,860,1,1,1,1966,female,wild,NA,NA,255,NA,801,2,1966
H 1153,1,1,1,River,1,1,0,62,0,0,0,1956,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,River,2,2,0,138,0,0,0,1957,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,River,3,3,0,220,0,0,0,1958,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,River,4,4,0,281,0,0,0,1959,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,River,5,5,0,366,1,0,0,1960,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,Lake,6,5,1,495,1,0,0,1961,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,Lake,7,5,2,656,1,1,1,1962,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,Lake,8,5,3,662,1,1,0,1963,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,Lake,9,5,4,736,1,1,1,1964,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,Lake,10,5,5,741,1,1,0,1965,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,Lake,11,5,6,800,1,1,1,1966,male,wild,1955,5,366,7,656,3,1966
H 1154,1,1,1,River,1,1,0,48,0,0,0,1957,male,wild,1956,4,294,8,875,2,1966
H 1154,1,1,1,River,2,2,0,130,0,0,0,1958,male,wild,1956,4,294,8,875,2,1966
H 1154,1,1,1,River,3,3,0,219,0,0,0,1959,male,wild,1956,4,294,8,875,2,1966
H 1154,1,1,1,River,4,4,0,294,1,0,0,1960,male,wild,1956,4,294,8,875,2,1966
H 1154,1,1,1,Lake,5,4,1,444,1,0,0,1961,male,wild,1956,4,294,8,875,2,1966
H 1154,1,1,1,Lake,6,4,2,602,1,0,0,1962,male,wild,1956,4,294,8,875,2,1966
H 1154,1,1,1,Lake,7,4,3,759,1,0,0,1963,male,wild,1956,4,294,8,875,2,1966
H 1154,1,1,1,Lake,8,4,4,875,1,1,1,1964,male,wild,1956,4,294,8,875,2,1966
H 1154,1,1,1,Lake,9,4,5,889,1,1,0,1965,male,wild,1956,4,294,8,875,2,1966
H 1154,1,1,1,Lake,10,4,6,930,1,1,1,1966,male,wild,1956,4,294,8,875,2,1966
H 1155,1,1,1,Lake,NA,NA,1,364,1,0,0,1960,female,wild,NA,NA,229,NA,711,3,1966
H 1155,1,1,1,Lake,NA,NA,2,500,1,0,0,1961,female,wild,NA,NA,229,NA,711,3,1966
H 1155,1,1,1,Lake,NA,NA,3,711,1,1,1,1962,female,wild,NA,NA,229,NA,711,3,1966
H 1155,1,1,1,Lake,NA,NA,4,717,1,1,0,1963,female,wild,NA,NA,229,NA,711,3,1966
H 1155,1,1,1,Lake,NA,NA,5,799,1,1,1,1964,female,wild,NA,NA,229,NA,711,3,1966
H 1155,1,1,1,Lake,NA,NA,6,811,1,1,0,1965,female,wild,NA,NA,229,NA,711,3,1966
H 1155,1,1,1,Lake,NA,NA,7,870,1,1,1,1966,female,wild,NA,NA,229,NA,711,3,1966
H 1156,1,1,1,River,1,1,0,69,0,0,0,1958,female,wild,1957,4,267,7,781,2,1966
H 1156,1,1,1,River,2,2,0,129,0,0,0,1959,female,wild,1957,4,267,7,781,2,1966
H 1156,1,1,1,River,3,3,0,198,0,0,0,1960,female,wild,1957,4,267,7,781,2,1966
H 1156,1,1,1,River,4,4,0,267,1,0,0,1961,female,wild,1957,4,267,7,781,2,1966
H 1156,1,1,1,Lake,5,4,1,492,1,0,0,1962,female,wild,1957,4,267,7,781,2,1966
H 1156,1,1,1,Lake,6,4,2,662,1,0,0,1963,female,wild,1957,4,267,7,781,2,1966
H 1156,1,1,1,Lake,7,4,3,781,1,1,1,1964,female,wild,1957,4,267,7,781,2,1966
H 1156,1,1,1,Lake,8,4,4,800,1,1,0,1965,female,wild,1957,4,267,7,781,2,1966
H 1156,1,1,1,Lake,9,4,5,850,1,1,1,1966,female,wild,1957,4,267,7,781,2,1966
H 1157,1,1,1,River,1,1,0,75,0,0,0,1960,male,wild,1959,2,185,7,720,1,1966
H 1157,1,1,1,River,2,2,0,185,1,0,0,1961,male,wild,1959,2,185,7,720,1,1966
H 1157,1,1,1,Lake,3,2,1,290,1,0,0,1962,male,wild,1959,2,185,7,720,1,1966
H 1157,1,1,1,Lake,4,2,2,375,1,0,0,1963,male,wild,1959,2,185,7,720,1,1966
H 1157,1,1,1,Lake,5,2,3,500,1,0,0,1964,male,wild,1959,2,185,7,720,1,1966
H 1157,1,1,1,Lake,6,2,4,635,1,0,0,1965,male,wild,1959,2,185,7,720,1,1966
H 1157,1,1,1,Lake,7,2,5,720,1,1,1,1966,male,wild,1959,2,185,7,720,1,1966
H 1158,1,1,1,River,1,1,0,72,0,0,0,1961,female,wild,1960,4,259,6,577,1,1966
H 1158,1,1,1,River,2,2,0,131,0,0,0,1962,female,wild,1960,4,259,6,577,1,1966
H 1158,1,1,1,River,3,3,0,187,0,0,0,1963,female,wild,1960,4,259,6,577,1,1966
H 1158,1,1,1,River,4,4,0,259,1,0,0,1964,female,wild,1960,4,259,6,577,1,1966
H 1158,1,1,1,Lake,5,4,1,429,1,0,0,1965,female,wild,1960,4,259,6,577,1,1966
H 1158,1,1,1,Lake,6,4,2,577,1,1,1,1966,female,wild,1960,4,259,6,577,1,1966
H 1159,1,1,1,River,1,1,0,56,0,0,0,1961,female,wild,1960,3,240,6,690,1,1966
H 1159,1,1,1,River,2,2,0,163,0,0,0,1962,female,wild,1960,3,240,6,690,1,1966
H 1159,1,1,1,River,3,3,0,240,1,0,0,1963,female,wild,1960,3,240,6,690,1,1966
H 1159,1,1,1,Lake,4,3,1,392,1,0,0,1964,female,wild,1960,3,240,6,690,1,1966
H 1159,1,1,1,Lake,5,3,2,543,1,0,0,1965,female,wild,1960,3,240,6,690,1,1966
H 1159,1,1,1,Lake,6,3,3,690,1,1,1,1966,female,wild,1960,3,240,6,690,1,1966
H 1160,1,1,1,River,1,1,0,75,0,0,0,1957,male,wild,1956,4,276,6,656,3,1966
H 1160,1,1,1,River,2,2,0,127,0,0,0,1958,male,wild,1956,4,276,6,656,3,1966
H 1160,1,1,1,River,3,3,0,194,0,0,0,1959,male,wild,1956,4,276,6,656,3,1966
