Treatment,ID,Day,Body weight ,Average Daily Gain,Average daily feed intake,Mean feed consumption (kg/pig),SEM,Body weight gain (kg),SEM
C-,4478,0,7.03,0,,,,,
C-,4141,0,8.6,0,,,,,
C-,4137,0,8.1,0,,,,,
C-,7497,0,5.92,0,,,,,
C-,4464,0,5.13,0,,,,,
C-,6988,0,6.58,0,,,,,
C-,4277,0,7.48,0,,,,,
C-,7008,0,8.58,0,,,,,
C-,4409,0,6.72,0,,,,,
C-,4078,0,6.4,0,,,,,
C+,4358,0,5.86,0,,,,,
C+,4234,0,7.13,0,,,,,
C+,7512,0,8.63,0,,,,,
C+,7388,0,7.72,0,,,,,
C+,4273,0,7.14,0,,,,,
C+,4315,0,9.64,0,,,,,
C+,6970,0,5.37,0,,,,,
C+,4132,0,7,0,,,,,
C+,4021,0,7.09,0,,,,,
C+,7678,0,6.7,0,,,,,
OBE,4346,0,6.65,0,,,,,
OBE,4441,0,4.89,0,,,,,
OBE,6513,0,7.61,0,,,,,
OBE,4103,0,7.77,0,,,,,
OBE,4015,0,5.63,0,,,,,
OBE,4425,0,7.29,0,,,,,
OBE,7109,0,8.82,0,,,,,
OBE,4215,0,7.02,0,,,,,
OBE,4133,0,7.25,0,,,,,
OBE,4309,0,9.07,0,,,,,
C-,4478,7,6.88,-21,116,,,,
C-,4141,7,8.94,49,130,,,,
C-,4137,7,7.95,-21,83,,,,
C-,7497,7,5.41,-73,49,,,,
C-,4464,7,5.07,-9,49,,,,
C-,6988,7,6.87,214,151,,,,
C-,4277,7,7.59,84,154,,,,
C-,7008,7,8.26,167,111,,,,
C-,4409,7,6.57,-19,110,,,,
C-,4078,7,6.11,-79,160,,,,
C+,4358,7,5.53,-150,64,,,,
C+,4234,7,6.87,-87,64,,,,
C+,7512,7,9.16,83,164,,,,
C+,7388,7,7.1,54,114,,,,
C+,4273,7,5.97,-61,27,,,,
C+,4315,7,8.36,357,43,,,,
C+,6970,7,5.02,-233,64,,,,
C+,4132,7,7.52,376,183,,,,
C+,4021,7,7.17,-63,133,,,,
C+,7678,7,6.88,-127,151,,,,
OBE,4346,7,6.01,-160,77,,,,
OBE,4441,7,5.65,-426,114,,,,
OBE,6513,7,7.69,-4,120,,,,
OBE,4103,7,8.67,219,204,,,,
OBE,4015,7,5.91,-533,114,,,,
OBE,4425,7,7.1,-27,120,,,,
OBE,7109,7,8.94,17,139,,,,
OBE,4215,7,7.05,4,139,,,,
OBE,4133,7,6.77,-69,100,,,,
OBE,4309,7,9.2,19,170,,,,
C-,4478,14,8.53,236,301,,,,
C-,4141,14,11.01,296,333,,,,
C-,4137,14,9.37,203,256,,,,
C-,7497,14,6.41,143,101,,,,
C-,4464,14,6.15,154,101,,,,
C-,6988,14,8.68,259,324,,,,
C-,4277,14,9.92,333,403,,,,
C-,7008,14,10.12,266,311,,,,
C-,4409,14,8.13,223,274,,,,
C-,4078,14,6.68,81,243,,,,
C+,4358,14,6.55,146,193,,,,
C+,4234,14,7.85,140,193,,,,
C+,7512,14,9.96,114,290,,,,
C+,7388,14,8.93,261,311,,,,
C+,4273,14,6.46,70,200,,,,
C+,4315,14,8.62,37,93,,,,
C+,6970,14,6.34,189,193,,,,
C+,4132,14,9.28,251,297,,,,
C+,4021,14,8.8,233,339,,,,
C+,7678,14,8.33,207,441,,,,
OBE,4346,14,6.23,31,154,,,,
OBE,4441,14,7.73,297,258,,,,
OBE,6513,14,8.73,149,263,,,,
OBE,4103,14,11,333,373,,,,
OBE,4015,14,6.93,146,258,,,,
OBE,4425,14,9.12,289,310,,,,
OBE,7109,14,10.42,211,303,,,,
OBE,4215,14,8.95,271,307,,,,
OBE,4133,14,7.39,89,204,,,,
OBE,4309,14,10.32,160,281,,,,
C-,4478,19,10.88,470,603,,,,
C-,4141,19,13.31,460,698,,,,
C-,4137,19,10.95,316,575,,,,
C-,7497,19,8.04,326,586,,,,
C-,4464,19,7.62,294,586,,,,
C-,6988,19,11.34,532,750,,,,
C-,4277,19,12.04,424,800,,,,
C-,7008,19,12.43,462,613,,,,
C-,4409,19,9.94,362,598,,,,
C-,4078,19,8.25,314,540,,,,
C+,4358,19,7.94,278,488,,,,
C+,4234,19,9.99,428,488,,,,
C+,7512,19,12.27,462,700,,,,
C+,7388,19,11.86,586,708,,,,
C+,4273,19,7.77,262,515,,,,
C+,4315,19,10.73,422,495,,,,
C+,6970,19,8.05,342,488,,,,
C+,4132,19,11.07,358,583,,,,
C+,4021,19,11.28,496,760,,,,
C+,7678,19,11.12,558,715,,,,
OBE,4346,19,7.85,324,453,,,,
OBE,4441,19,10.39,532,723,,,,
OBE,6513,19,11.57,568,795,,,,
OBE,4103,19,13.61,522,710,,,,
OBE,4015,19,9.5,514,723,,,,
OBE,4425,19,11.91,558,805,,,,
OBE,7109,19,12.22,360,650,,,,
OBE,4215,19,11.61,532,755,,,,
OBE,4133,19,10.16,554,643,,,,
OBE,4309,19,12.77,490,763,,,,
C-,4478,30,14.91,448,618,,,,
C-,4141,30,18.32,557,788,,,,
C-,4137,30,14.88,437,551,,,,
C-,7497,30,11.82,420,560,,,,
C-,4464,30,11.3,409,560,,,,
C-,6988,30,17.23,589,860,,,,
C-,4277,30,18.76,672,811,,,,
C-,7008,30,17.19,476,656,,,,
C-,4409,30,14.58,464,669,,,,
C-,4078,30,11.68,343,565,,,,
C+,4358,30,9.2,140,397,,,,
C+,4234,30,11.97,220,397,,,,
C+,7512,30,13.25,109,447,,,,
C+,7388,30,14.45,288,562,,,,
C+,4273,30,11.2,381,496,,,,
C+,4315,30,13.73,333,516,,,,
C+,6970,30,10.83,278,400,,,,
C+,4132,30,14.34,327,476,,,,
C+,4021,30,15.01,373,662,,,,
C+,7678,30,15.96,484,747,,,,
OBE,4346,30,10.56,301,441,,,,
OBE,4441,30,13.48,343,624,,,,
OBE,6513,30,14.03,273,521,,,,
OBE,4103,30,16.65,338,574,,,,
OBE,4015,30,13.26,418,624,,,,
OBE,4425,30,14.8,289,550,,,,
OBE,7109,30,16.1,388,606,,,,
OBE,4215,30,14.97,336,582,,,,
OBE,4133,30,13.4,324,500,,,,
OBE,4309,30,15.22,245,523,,,,
